municipio,user,no_Delegacion,delegacion,nrp,razonSocial,folio,periodo,nombre_estatus,foto_domicilio.lat,foto_domicilio.lng,lote,fecha,domicilio,fecha_accion_fiscal
Barranquilla,9075,11,Estado de México,T5539244377,VELEZ OROZCO JAIME DAVID,1100202303T5539244377,202303,Citado,20.93491841,-87.50895601,294,30/01/1900,EL ESPECTADOR,25/10/2013
Barranquilla,9886,10,Durango,Q1054318410,NONTES ELJACH JONATHHAN,1000202301Q1054318410,202301,No localizado  2° Notificador,20.57717049,-87.5962199,900019,28/11/2011,PORTAFOLIO,18/05/2012
Barranquilla,9975,4,Campeche,A5175588184,EDUARDO LAGUNA CERVANTES,400202204A5175588184,202204,No localizado 1er. Notificador,20.47584288,-87.67890849,900001,13/05/2014,LA REPUBLICA,25/07/2014
Barranquilla,1107,1,Aguascalientes,I1743948882,VILLA BARRIOS JOSE GUILLERMO,100202204I1743948882,202204,No localizado 1er. Notificador,20.84581797,-87.31704582,900003,01/08/2011,PORTAFOLIO,18/05/2012
Barranquilla,1107,26,Sonora,E4659716049,REPRESENTACIONES CARYON LTDA,2600202201E4659716049,202201,Notificado 2a. Visita,20.08998669,-87.01470521,900009,01/08/2011,EL TIEMPO,27/03/2012
Barranquilla,9078,3,Baja California Sur,A8515674910,C.I. COMERCIALIZADORA KAR LTDA,300202202A8515674910,202202,Notificado 2a. Visita,20.80132069,-87.97269229,900010,01/08/2011,EL TIEMPO,27/03/2012
Barranquilla,9075,12,Guanajuato,Q4366378000,ASOCIACION DE RECICLAJE Y EXCEDENTES INDUSTRIALES BARR EL REBOLO,1200202304Q4366378000,202304,Notificado 2a. Visita,20.8586484,-87.50434115,298,27/06/2013,EL ESPECTADOR,18/09/2013
Barranquilla,9732,16,Michoacán,Z7619017866,CARIBENET E.U.,1600202302Z7619017866,202302,Notificado 2a. Visita,20.31426024,-87.53605947,00022,23/10/2012,LA REPUBLICA,28/02/2013
Barranquilla,8990,3,Baja California Sur,W4927755499,FUNDACION SNOWBOR,300202301W4927755499,202301,Notificado 1a. Visita,20.62263491,-87.21076484,329,23/08/2013,LA REPUBLICA,05/05/2014
Barranquilla,9075,31,Yucatán,S6540660937,CONSTR-TEXTIL S.A,3100202206S6540660937,202206,Notificado 2a. Visita,20.66539096,-87.63094088,900006,12/04/2012,LA REPUBLICA,29/08/2012
Barranquilla,0993,19,Nuevo León,U9442248994,INDUSTRIAS CAGI DE COLOMBIA LTDA,1900202206U9442248994,202206,Notificado 2a. Visita,20.14360591,-87.14345283,900011,01/08/2011,EL TIEMPO,27/03/2012
Barranquilla,8988,8,Coahuila,R8679823699,MUNDO TRADE COMERCIAL LTDA,800202206R8679823699,202206,Citado,20.70108448,-87.97433144,900012,01/08/2011,EL TIEMPO,27/03/2012
Barranquilla,9951,29,Tlaxcala,K5860924520,SUMINISTROS MIRANDA MORA S.A.,2900202303K5860924520,202303,No localizado 1er. Notificador,20.40936518,-87.67995614,900014,16/07/2012,LA REPUBLICA,30/11/2012
Barranquilla,10315,19,Nuevo León,J9705455850,IMPORTADORA INDUTEX LTDA,1900202201J9705455850,202201,Notificado 1a. Visita,20.91313748,-87.80989305,900016,05/09/2012,EL HERALDO,20/04/2013
Barranquilla,10015,2,Baja California,A1346700089,COMERCIALIZADORA INTERNACIONAL LOS GIRASOLES DEL CARIBE LTDA.,200202202A1346700089,202202,Notificado 1a. Visita,20.70745754,-87.74912661,900009,17/05/2012,LA REPUBLICA,27/09/2012
Barranquilla,8988,16,Michoacán,Z9344666581,COMERCIALIZADORA LOS SAUCES DEL CARIBE LTDA,1600202302Z9344666581,202302,No localizado 1er. Notificador,20.76779886,-87.69409345,317,12/08/2013,LA REPUBLICA,05/05/2014
Barranquilla,9076,2,Baja California,R1364651462,COMERCIALIZADORA INTERCONTINENTAL DEL CARIBE LTDA.,200202204R1364651462,202204,Notificado 1a. Visita,20.18730707,-87.8054379,900008,19/04/2012,LA REPUBLICA,29/08/2012
Barranquilla,9742,3,Baja California Sur,P5293411738,IMPOEXPO BARRANQUILLA LTDA.,300202303P5293411738,202303,No localizado  2° Notificador,20.74491593,-87.19478909,900011,18/05/2012,LA REPUBLICA,27/09/2012
Barranquilla,0993,27,Tabasco,Z3833783045,FUNDACION ESCUELA NACIONAL DE PROYECTOS,2700202206Z3833783045,202206,Notificado 2a. Visita,20.8878525,-87.29109354,307,21/07/2013,LA REPUBLICA,05/05/2014
Barranquilla,9811,25,Sinaloa,U7604831366,COMERCIALIZADORA INSUMO PRODUCTO S.A.,2500202205U7604831366,202205,No localizado 1er. Notificador,20.91225897,-87.1660559,62,04/02/2013,EL ESPECTADOR,24/06/2013
Barranquilla,9960,10,Durango,Q3345894292,COMERCIALIZADORA INTERNACIONAL FREEWAY LTDA.,1000202204Q3345894292,202204,Notificado 2a. Visita,20.81581039,-87.96115666,900013,08/06/2012,LA REPUBLICA,27/09/2012
Barranquilla,9975,4,Campeche,R4993733468,FUNDACION PARA LA CONSTRUCCION SOCIAL Y COMUNITARIA -CRECER,400202303R4993733468,202303,Notificado 1a. Visita,20.76901086,-87.82784114,149,08/03/2013,EL ESPECTADOR,05/06/2013
Barranquilla,9811,17,Morelos,D5029976125,DISTRIBUIDORA SUTITODO S A S.,1700202205D5029976125,202205,No localizado  2° Notificador,20.21544669,-87.43432298,900010,18/05/2012,LA REPUBLICA,27/09/2012
Barranquilla,9075,13,Guerrero,R9606285430,COOPERATIVA DE RECICLADORES DE METALES,1300202304R9606285430,202304,Citado,20.26593368,-87.82384024,000635,07/11/2012,LA REPUBLICA,28/02/2013
Barranquilla,8988,11,Estado de México,O4666696923,COOPERATIVA MULTIACTIVA DE SERVICIOS LA FLORESTA,1100202202O4666696923,202202,Notificado 2a. Visita,20.33434666,-87.78460935,900005,12/04/2011,LA REPUBLICA,29/08/2012
Barranquilla,10102,14,Hidalgo,J7213132418,COOPERATIVA MULTIACTIVA DE SERVICIOS LOS ALMENDROS,1400202201J7213132418,202201,Notificado 2a. Visita,20.92602158,-87.96579668,900004,11/04/2012,LA REPUBLICA,29/08/2012
Barranquilla,9975,4,Campeche,E5493333244,ASOCIACION DE RECICLADO DE PLASTICOS Y METALES DEL CARIBE,400202203E5493333244,202203,No localizado  2° Notificador,20.90735657,-87.41125418,61,04/02/2013,EL ESPECTADOR,05/06/2013
Barranquilla,1108,19,Nuevo León,A3372935064,HUMRU LIMITADA,1900202304A3372935064,202304,Notificado 1a. Visita,20.01970074,-87.34678774,297,27/06/2013,EL ESPECTADOR,18/09/2013
Barranquilla,9975,26,Sonora,T5554239937,DISTRIBUIDORA LA PEÑA S.A.S.,2600202303T5554239937,202303,Citado,20.04268354,-87.0027552,278,04/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,0993,4,Campeche,J5205376211,INVERSIONES JORYMAR LTDA.,400202201J5205376211,202201,No localizado  2° Notificador,20.8815091,-87.58123222,296,27/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,9078,10,Durango,N8395463655,CONSULTORIOS Y AUDITORIOS INTEGRALES WAMA,1000202301N8395463655,202301,No localizado  2° Notificador,20.69846923,-87.77330546,308,25/07/2013,EL ESPECTADOR,25/10/2013
Barranquilla,9886,14,Hidalgo,W6763461411,"INDUSTRIA TEXTIL SIGLO XXI S.A.S.
ASOCIACION DE DISEÑADORES Y CONFECCIONISTAS DE ROPA, CALZADO, BOLSOS Y TEXTILES EN GENERAL CONFECCIONES",1400202301W6763461411,202301,Notificado 1a. Visita,20.26414438,-87.34503696,284,06/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,9812,15,Jalisco,K1461894189,CAVALLI,1500202302K1461894189,202302,Citado,20.68185562,-87.56046937,151,08/03/2013,EL ESPECTADOR,05/07/2013
Barranquilla,1107,26,Sonora,S7442761910,COOPERATIVA MULTIACTIVA DE GRANJEROS DEL ATLANTICO,2600202303S7442761910,202303,Citado,20.04255704,-87.57841618,150,08/03/2013,EL ESPECTADOR,05/07/2013
Barranquilla,8991,21,Puebla,B3533632332,COOPERATIVA AGUACARIBE DE GRANJEROS Y GANADEROS DE COLOMBIA,2100202201B3533632332,202201,No localizado  2° Notificador,20.89673957,-87.31789675,900018,22/10/2012,LA REPUBLICA,28/02/2013
Barranquilla,9975,23,Quintana Roo,I2015726316,COOPERATIVA MULTIACTIVA DE SERVICIO TODO CONFECCIONES DEL CARIBE,2300202304I2015726316,202304,Notificado 1a. Visita,20.2637857,-87.59478542,152,08/03/2013,EL ESPECTADOR,05/07/2013
Barranquilla,8996,13,Guerrero,G3341316059,ASOCIACION DE DISEÑADORES Y CONFECCIONISTAS DE ROPA,1300202301G3341316059,202301,No localizado  2° Notificador,20.67280441,-87.61541314,650,13/11/2012,LA REPUBLICA,28/02/2013
Barranquilla,9732,20,Oaxaca,H8768151928,COOPERATIVA DE RECICLAJES DE LA COSTA,2000202302H8768151928,202302,Citado,20.76840638,-87.53004214,299,02/07/2013,EL ESPECTADOR,18/09/2013
Barranquilla,8993,17,Morelos,I3550486459,COOPERATIVA MULTIACTIVA DE SERVICIOS AGROPECUARIOS AGROCARIBE,1700202303I3550486459,202303,Notificado 1a. Visita,20.37694983,-87.46791825,900015,03/09/2012,EL HERALDO,22/01/2013
Barranquilla,9076,3,Baja California Sur,I7550556069,COOPERATIVA MULTIACTIVA DE SERV.LA SALVACION,300202204I7550556069,202204,No localizado  2° Notificador,20.83066298,-87.62244192,295,27/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,9078,2,Baja California,Z8920560632,COMERCIALIZADORA AGROPECUARIA Y PORCICOLA CANTILLO S.A.S.,200202304Z8920560632,202304,No localizado  2° Notificador,20.12430787,-87.35125607,318,12/08/2013,LA REPUBLICA,05/05/2014
Barranquilla,8989,25,Sinaloa,P2617068544,COMERC.DE PRODUCTOS AGRICOLAS Y VETERINARIOS,2500202206P2617068544,202206,Citado,20.36203597,-87.69749151,255,08/05/2013,EL ESPECTADOR,18/09/2013
Barranquilla,8993,5,Chiapas,U5341705396,COOP DE RECICLADORES PARA LA LIMPIEZA DEL MEDIO AMBIENTE,500202204U5341705396,202204,No localizado 1er. Notificador,20.92091511,-87.12569566,341,25/09/2013,LA REPUBLICA,05/05/2014
Barranquilla,10323,27,Tabasco,R9248648438,DISTRIB. DE PROD. AGROP Y PORCICOLAS S.A.S,2700202301R9248648438,202301,Citado,20.50617216,-87.91838082,342,25/09/2013,LA REPUBLICA,05/05/2014
Barranquilla,9812,9,Colima,V4928388010,COOP. DE RECICL.DE METALES PARA LA CONSTRUC.,900202205V4928388010,202205,Notificado 1a. Visita,20.05408608,-87.06398955,290,27/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,9079,32,Zacatecas,G8923448752,COMERC.PRODUCT.AGRICOLAS Y VETERINARIOS DEL ATLANTICO,3200202202G8923448752,202202,Notificado 1a. Visita,20.75464925,-87.87179133,291,27/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,10323,16,Michoacán,K7975509723,COOPERATIVA DE DISTRIBUIDORES DEL ATLANTICO,1600202303K7975509723,202303,No localizado  2° Notificador,20.09985548,-87.42108064,900004,29/05/2014,LA REPUBLICA,22/08/2014
Barranquilla,10220,14,Hidalgo,Y3882980488,COMERCIALIZADORA METRAL S.A.S.,1400202304Y3882980488,202304,Notificado 1a. Visita,20.37091132,-87.11843745,22412018000009,10/10/2018,El Espectador,01/04/2019
Barranquilla,0993,16,Michoacán,A3158924301,COMERCIALIZADORA GUMARPA S.A.S.,1600202302A3158924301,202302,Notificado 1a. Visita,20.45648496,-87.2792317,22412018000008,10/10/2018,El Espectador,01/04/2019
Barranquilla,8989,30,Veracruz,S8606107439,COMERCIALIZADORA WISAR S.A.S.,3000202301S8606107439,202301,No localizado  2° Notificador,20.58557753,-87.75381055,22412018000003,26/09/2018,El Espectador,01/04/2019
Barranquilla,8990,18,Nayarit,J4965223623,REPRESENTACIONES ORVI DEL CARIBE S.A.S.,1800202301J4965223623,202301,Citado,20.80277094,-87.42299822,22412018000004,26/09/2018,El Espectador,01/04/2019
Barranquilla,10315,12,Guanajuato,K6345534123,SONG PRODUCCIONES Y ESPECTACULOS S.A.S.,1200202303K6345534123,202303,Notificado 2a. Visita,20.98046109,-87.27277285,22412018000007,10/10/2018,El Espectador,01/04/2019
Barranquilla,9952,19,Nuevo León,O4665894222,COMERCIALIZADORA MARDIL S.A.S.,1900202302O4665894222,202302,Citado,20.26563713,-87.50721895,22412018000005,10/10/2018,El Espectador,01/04/2019
Barranquilla,1108,24,San Luis Potosí,J2483712051,COMERCIALIZADORA Y DISTRIBUIDORA DALMOR S.A.S.,2400202201J2483712051,202201,No localizado  2° Notificador,20.17298802,-87.45058449,22412018000001,26/09/2018,El Espectador,01/04/2019
Barranquilla,9077,21,Puebla,Y5327245665,COMERCIALIZADORA Y DISTRIBUIDORA MAGPAL S.A.S.,2100202201Y5327245665,202201,Citado,20.28959139,-87.12447521,22412018000006,10/10/2018,El Espectador,01/04/2019
Barranquilla,1107,21,Puebla,I8704454828,COMERCIALIZADORA MONTENEGRO DE L COSTA S.A.S.,2100202205I8704454828,202205,Notificado 2a. Visita,20.66457851,-87.98344116,22412018000010,10/10/2018,El Espectador,01/04/2019
Barranquilla,10015,16,Michoacán,P1792965790,COMERCIALIZADORA DAJOME SAS,1600202205P1792965790,202205,Citado,20.07846436,-87.82725414,22412018000011,10/10/2018,El Espectador,01/04/2019
Barranquilla,10315,25,Sinaloa,E9841434806,COMERCIALIZADORA TMV SAS,2500202205E9841434806,202205,Notificado 2a. Visita,20.95353124,-87.11638289,22412018000002,26/09/2018,El Espectador,01/04/2019
Barranquilla,10322,4,Campeche,N3158815800,ESTEVEZ ARIZA YULDOR FABIANNY,400202302N3158815800,202302,No localizado 1er. Notificador,20.20118684,-87.8831642,900005,30/07/2014,LA REPUBLICA,05/09/2014
Barranquilla,9812,21,Puebla,H4675351610,ARAGON MERCADO NAIMER DARIO,2100202203H4675351610,202203,Notificado 2a. Visita,20.68676311,-87.57047127,900007,01/08/2011,PORTAFOLIO,18/05/2012
Barranquilla,9079,1,Aguascalientes,Y3643079264,HENAO TORO JHONATAN,100202202Y3643079264,202202,Notificado 1a. Visita,20.02257525,-87.11974526,292,27/06/2013,EL ESPECTADOR,25/10/2013
Barranquilla,0993,1,Aguascalientes,Y3716932282,FLORES CONTRERAS JHONIS RAFAEL,100202201Y3716932282,202201,Citado,20.45189632,-87.05688985,256,08/05/2013,EL ESPECTADOR,18/09/2013
Bogotá,10220,27,Tabasco,Y9727885558,LUPERCIO SEIJIA VILLARUEL,2700202202Y9727885558,202202,No localizado  2° Notificador,20.6905424,-87.77552909,900005,20/03/2014,LA REPUBLICA,04/07/2014
Bogotá,8988,24,San Luis Potosí,S8982133064,EMILIO ALBERTO RODRIGUEZ BALLEN,2400202304S8982133064,202304,Citado,20.12967243,-87.06923749,900019,08/03/2013,EL ESPECTADOR,15/06/2013
Bogotá,9077,6,Chihuahua,E6281804617,JUAN ALBERTO MONTIEL PEÑA,600202304E6281804617,202304,Notificado 2a. Visita,20.71284463,-87.14306986,900026,20/03/2015,LA REPUBLICA,15/05/2015
Bogotá,9812,6,Chihuahua,K1231583067,JESUS ENRIQUE GALICIA OSPINA,600202303K1231583067,202303,Citado,20.75652307,-87.25158698,900038,31/03/2015,LA REPUBLICA,27/04/2015
Bogotá,8990,21,Puebla,D9694716932,TARCISIO ZARTA,2100202206D9694716932,202206,No localizado  2° Notificador,20.89224873,-87.34608008,900036,30/03/2015,LA REPUBLICA,27/04/2015
Bogotá,8990,18,Nayarit,K7357537515,CLAVIJO VILLANUEVA RAMIRO,1800202205K7357537515,202205,No localizado 1er. Notificador,20.81602753,-87.57866547,900046,01/12/2016,EL ESPECTADOR,09/05/2019
Bogotá,9975,3,Baja California Sur,R4174477192,MACHUCA RODRIGUEZ ATILIANO,300202302R4174477192,202302,No localizado 1er. Notificador,20.84613404,-87.51051935,900002,09/02/2016,EL ESPECTADOR,09/05/2019
Bogotá,9974,23,Quintana Roo,L3589075641,CARLOS MARIO ARBELAEZ,2300202203L3589075641,202203,No localizado  2° Notificador,20.34681001,-87.36962373,900016,25/02/2013,EL ESPECTADOR,15/06/2013
Bogotá,8991,23,Quintana Roo,U6757516746,JUAN MIGUEL ESCOBAR SANCHEZ,2300202301U6757516746,202301,No localizado 1er. Notificador,20.21422118,-87.04076557,900010,10/04/2014,LA REPUBLICA,25/07/2014
Bogotá,9960,15,Jalisco,R8438621380,JAIRO BERNAL SILVA,1500202303R8438621380,202303,Notificado 2a. Visita,20.74473808,-87.89784647,900016,30/05/2014,LA REPUBLICA,04/11/2014
Bogotá,10169,3,Baja California Sur,D5166528971,JOHN JAIRO RAMIREZ GUZMAN,300202303D5166528971,202303,No localizado 1er. Notificador,20.71057231,-87.62599367,900855,15/03/2012,LA REPUBLICA,31/03/2013
Bogotá,9974,8,Coahuila,T1710486667,SUAREZ CIPAGAUTA JOSE JUVENAL,800202203T1710486667,202203,No localizado 1er. Notificador,20.21515247,-87.24397349,900021,09/06/2017,EL ESPECTADOR,09/05/2019
Bogotá,8993,18,Nayarit,I3909968428,LUZ MIRIAN MENJURA VARGAS,1800202304I3909968428,202304,Citado,20.33219216,-87.31751843,900010,15/04/2014,LA REPUBLICA,25/07/2014
Bogotá,8992,17,Morelos,R5866804132,LINA MARIA AGAMEZ BEQUIS,1700202303R5866804132,202303,Citado,20.39576047,-87.82162505,900006,25/02/2015,LA REPUBLICA,30/03/2015
Bogotá,8990,29,Tlaxcala,P4483876475,AGAMEZ BEQUIS LINA MARIA,2900202203P4483876475,202203,Notificado 2a. Visita,20.77943901,-87.49699189,900006,25/02/2015,EL ESPECTADOR,09/05/2019
Bogotá,1107,28,Tamaulipas,J5659443790,GLORIA MARIA OSPINO TRIVIÑO,2800202206J5659443790,202206,Citado,20.31864632,-87.6263325,900022,19/03/2015,LA REPUBLICA,13/04/2015
Bogotá,8994,5,Chiapas,K9822403077,AGUSTINA BEQUIS MARTINEZ,500202301K9822403077,202301,Notificado 1a. Visita,20.80485885,-87.92294372,900010,04/03/2015,LA REPUBLICA,30/03/2015
Bogotá,1108,26,Sonora,D9832926079,MARIA YANETH MORENO BONILLA,2600202302D9832926079,202302,No localizado 1er. Notificador,20.01117784,-87.31408659,900020,19/03/2015,LA REPUBLICA,13/04/2015
Bogotá,9732,19,Nuevo León,N4324139157,MERCEDES PEREZ ANGULO,1900202302N4324139157,202302,No localizado 1er. Notificador,20.41827934,-87.63737304,900005,22/02/2016,EL ESPECTADOR,11/05/2016
Bogotá,8988,8,Coahuila,L2191648795,AMPARO CARTAGENA,800202302L2191648795,202302,Citado,20.19550691,-87.3162233,900027,25/03/2015,LA REPUBLICA,27/04/2015
Bogotá,9974,6,Chihuahua,B8375510826,OLGA LUCIA CORTES CADENA,600202204B8375510826,202204,Notificado 2a. Visita,20.36219842,-87.57425918,900004,18/02/2016,EL ESPECTADOR,02/06/2016
Bogotá,10015,11,Estado de México,T8647567789,CAROLINA RUIZ RIVEROS,1100202302T8647567789,202302,Citado,20.27535061,-87.00316968,900024,15/04/2013,EL ESPECTADOR,25/09/2013
Bogotá,9442,26,Sonora,O4319467395,LUZ NELLY DIAZ JIMENEZ,2600202202O4319467395,202202,Citado,20.16614005,-87.13262033,900004,07/03/2014,LA REPUBLICA,04/07/2014
Bogotá,9732,29,Tlaxcala,T8219252705,DIANA MARCELA MARTINEZ,2900202303T8219252705,202303,Citado,20.63719503,-87.28660759,900006,20/03/2014,LA REPUBLICA,04/07/2014
Bogotá,10299,20,Oaxaca,Y2095137680,GOMEZ AVENDAÑO ASTRID YAMILE,2000202201Y2095137680,202201,No localizado  2° Notificador,20.52736536,-87.63112166,900017,25/02/2013,EL ESPECTADOR,25/09/2013
Bogotá,9079,9,Colima,R2156788046,HEYDI CAROLINA MACHUCA PEREZ,900202206R2156788046,202206,Notificado 1a. Visita,20.84495214,-87.5819075,900009,08/03/2016,EL ESPECTADOR,02/06/2016
Bogotá,8994,11,Estado de México,J8544008487,MACHUCA PEREZ HEYDI CAROLINA,1100202204J8544008487,202204,No localizado  2° Notificador,20.04876324,-87.84738367,900044,10/04/2015,EL ESPECTADOR,09/05/2019
Bogotá,9078,5,Chiapas,N3337271564,ELIZABETH GUAYARA,500202203N3337271564,202203,No localizado  2° Notificador,20.55539748,-87.05918318,900012,04/03/2015,LA REPUBLICA,30/03/2015
Bogotá,9812,8,Coahuila,Q2570146691,SIXTA TULIA MOSCOSO,800202301Q2570146691,202301,Notificado 1a. Visita,20.75707131,-87.13659259,900032,30/03/2015,LA REPUBLICA,27/04/2015
Bogotá,1107,29,Tlaxcala,L5900424652,LARA LUZ ALEYDA,2900202301L5900424652,202301,No localizado  2° Notificador,20.24739584,-87.50034534,900044,11/11/2016,EL ESPECTADOR,09/05/2019
Bogotá,1107,11,Estado de México,G8968325580,GUAYARA AUDY MA,1100202205G8968325580,202205,Citado,20.78770678,-87.81602895,900004,06/02/2015,LA REPUBLICA,23/02/2015
Bogotá,10322,23,Quintana Roo,N1431657744,OLGA CAVIEDES,2300202206N1431657744,202206,No localizado 1er. Notificador,20.61285528,-87.23105318,900023,19/03/2015,LA REPUBLICA,13/04/2015
Bogotá,9951,29,Tlaxcala,B5960672598,FLORALBA MEJIA,2900202203B5960672598,202203,Notificado 2a. Visita,20.57441398,-87.69990127,900035,30/03/2015,LA REPUBLICA,27/04/2015
Bogotá,8991,26,Sonora,P8645747901,ANETH AGAMEZ BEQUIS,2600202202P8645747901,202202,Citado,20.55650176,-87.09837794,900019,19/03/2015,LA REPUBLICA,15/05/2015
Bogotá,9886,26,Sonora,E2552976092,NELSON ESTRADA,2600202204E2552976092,202204,Notificado 2a. Visita,20.52393431,-87.51008379,900017,19/03/2015,LA REPUBLICA,13/04/2015
Bogotá,8990,4,Campeche,Q7317307146,GUILLERMO RODRIGUEZ CEPEDA,400202201Q7317307146,202201,Notificado 2a. Visita,20.56135713,-87.16000096,900020,08/03/2013,EL ESPECTADOR,15/06/2013
Bogotá,9077,15,Jalisco,R6377549044,OSWALDO HERNANDEZ PATIÑO,1500202302R6377549044,202302,Citado,20.36186109,-87.92852854,900022,20/03/2013,EL ESPECTADOR,25/09/2013
Bogotá,9075,22,Querétaro,P1370059876,OSWALDO HERNANDEZ PATIÑO,2200202201P1370059876,202201,Notificado 2a. Visita,20.7793671,-87.69319917,900003,10/02/2016,EL ESPECTADOR,27/05/2016
Bogotá,10299,19,Nuevo León,K6696903295,CARLOS ALFONSO URREA RODRIGUEZ,1900202301K6696903295,202301,No localizado  2° Notificador,20.77673865,-87.88085174,900009,09/04/2014,LA REPUBLICA,25/07/2014
