despacho,usuario_Blue_Naa,usuario_Blue_Pae,id_Proveedor,entidad_Federativa,nombre_Candidato,rfc,curp,folio_Acred_Naa,folio_Acred_Pae,,
WATERS,9811,ND_4,3869,Quintana Roo,LORIS VEENSTRA VEV,VELV5412207R2,VELV541220MDFTRC09,23/3869/1-2023/00018,ND,,
WATERS,8993,E4905,3869,Quintana Roo,ROSALBA OHLENBUSCH,OORO430715RL6,OORR430715MDFHLN08,23/3869/1-2022/00006,23/3869/1-2022/00006PAE,,
WATERS,1108,E5685,3869,Quintana Roo,NATIVIDAD HAGIE HAN,HANA6902211K,HANA690221MDFBGS00,23/3869/1-2023/00028,23/3869/1-2023/00023PAE,,
WATERS,9886,E5466,3760,Quintana Roo,DIANE HOUTKOOPER,HODI470811GM4,HODD470811MDFHSN00,23/3760/2-2022/00020,23/3760/2-2022/00016PAE,,
WATERS,9077,E4930,3760,Quintana Roo,JENIFFER HELBIG HEB,HEEJ490626R2,HEEJ490626MDFGDS04,23/3760/2-2023/00012,23/3760/2-2023/00012PAE,,
WATERS,9076,E4929,3760,Quintana Roo,YUETTE SCHIMLER SCS,SCSY450811MJ0,SCSS450811MDFHSR07,23/3760/2-2023/00011,23/3760/2-2023/00011PAE,,
WATERS,9075,E4928,3760,Quintana Roo,SHONNA GRAUBARD GRE,GRGS6404026W2,GRGS640402MDFRXS03,23/3760/2-2023/00010,23/3760/2-2023/00010PAE,,
WATERS,9079,E4931,3760,Quintana Roo,DARIN VANDERWEERD,VADV481021HA4,VADD481021MDFZRT05,23/3760/2-2023/00014,23/3760/2-2023/00013PAE,,
WATERS,9078,E5467,3760,Quintana Roo,TOMOKO MCBETH MCT,MCTO640510LW5,MCTO640510MDFKTC03,23/3760/2-2023/00013,23/3760/2-2023/00017PAE,,
WATERS,9732,E5363,3760,Quintana Roo,VERLENE WEYANDT,WEVV540201V47,WEVV540201MDFLYN07,23/3760/2-2023/00016,23/3760/2-2023/00015PAE,,
DMG,9975,E5547,3760,Quintana Roo,GARFIELD SILVEIRA,SISG480622M27,SISG480622MDFHZR00,23/3760/2-2023/00025,23/3760/2-2023/00018PAE,,
DMG,10102,ND_4,3760,Quintana Roo,EDISON TEIJEIRO TET,TETE6612282G,TETE661228MDFBYD08,23/3760/2-2023/00031,ND_4,,
DMG,10140,E05841,3760,Quintana Roo,LUCIUS WACHTEL WAW,WALU490710LK2,WALU490710MDFDCC04,23/3760/2-2023/00032,23/3760/2-2023/00027PAE,,
DMG,10169,ND_6,3760,Quintana Roo,FRANCISCA EICHNER,EIEF460525VU3,EIEF460525MDFVZL05,23/3760/2-2023/00033,ND_6,,
DMG,10322,ND_6,3760,Quintana Roo,LORITA MARKER MAR,MALO6208021J,MALO620802MDFRCY09,23/3760/2-2023/00038,ND_6,,
DMG,10323,ND_7,3760,Quintana Roo,TAWANNA REISER RES,RERT560930T2,RERT560930MDFLGV05,23/3760/2-2023/00039,ND_7,,
DMG,8994,E4906,3869,Quintana Roo,AMBER MONTROY MON,MOIA430803VA7,MOIA430803MDFHPR02,23/3869/2-2023/00007,23/3869/2-2023/00007PAE,,
DMG,8989,E4901,3869,Quintana Roo,ARLEAN TRISLER TRI,TITA6009169T,TITA600916MDFHXH03,23/3869/2-2023/00002,23/3869/2-2023/00002PAE,,
DMG,9442,E5232,3869,Quintana Roo,LATASHIA PULLANO,PULA540215V53,PULA540215MDFHRR06,23/3869/2-2023/00015,23/3869/2-2023/00014PAE,,
DMG,9742,ND_2,3869,Quintana Roo,BARNEY SCHUFFERT,SCUB500314CU5,SCUB500314MDFNVL08,23/3869/2-2023/00017,ND_2,,
SPSSCORP,9951,E5622,3869,Quintana Roo,MALIK TURREY TUZ,TUMA6708113E,TUMA670811MDFLSV04,23/3869/2-2023/00021,23/3869/2-2023/00020PAE,,
SPSSCORP,9974,E5624,3869,Quintana Roo,NICKOLAS KASEY KAT,KAKN471101G70,KAKN471101MDFKXX02,23/3869/2-2023/00024,23/3869/2-2023/00022PAE,,
SPSSCORP,0993,E5581,3869,Quintana Roo,MILAGROS VERBA,VEVM480522RQ1,VEVM480522MDFYTD01,23/3869/2-2023/00026,23/3869/2-2023/00019PAE,,
SPSSCORP,10015,E05784,3869,Quintana Roo,ROMEO SCHRIEFER,SCRR430815MY3,SCRR430815MDFPLS07,23/3869/2-2023/00029,ND_3,,
SPSSCORP,10220,E5888,3869,Quintana Roo,DORRIS MENCHER MEC,MEDA630214PJ3,MEDA630214MDFGSH01,,,,
SPSSCORP,10299,ND_4,3869,Quintana Roo,HARLAND POELMAN POL,POLH550502KJ5,POLH550502MDFRBL04,23/3869/2-2023/00036,ND_4,,
SPSSCORP,10315,ND_5,3869,Quintana Roo,KRISTINE STROIK STR,STKK6009173V2,STKK600917MDFMKV02,23/3869/2-2023/00037,ND_5,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,"DORRIS MENCHER MEC,MEDA630214PJ3,MEDA630214MDFGSH01 HARLAND POELMAN POL,POLH550502KJ5,POLH550502MDFRBL04",,,,,,
,,,,"DORRIS MENCHER MEC,MEDA630214PJ3,MEDA630214MDFGSH01 HARLAND POELMAN POL,POLH550502KJ5,POLH550502MDFRBL04 KRISTINE STROIK STR,STKK6009173V2,STKK600917MDFMKV02",,,,,,,
,,,,,"DORRIS MENCHER MEC,MEDA630214PJ3,MEDA630214MDFGSH01 HARLAND POELMAN POL,POLH550502KJ5,POLH550502MDFRBL04 KRISTINE STROIK STR,STKK6009173V2,STKK600917MDFMKV02",,,,,,
